token_spacy,lemma,pos
PITHANDRE,PITHANDRE,PROPN
PJEONIUS,PJEONIUS,PROPN
PLOCAMUS,PLOCAMUS,PROPN
POLIS,POLIS,PROPN
POLYCHARME,POLYCHARME,PROPN
POLYCLÈTE,POLYCLÈTE,PROPN
POLYCRATE,POLYCRATE,PROPN
POLYEUCTE,polyeucte,NOUN
POLYSTRATE,POLYSTRATE,PROPN
regarde,regarder,VERB
exécuta,exécuter,VERB
chasseurs,chasseur,PROPN
BATTON,BATTON,PROPN
ARISTON,ARISTON,PROPN
ARISTONIDAS,ARISTONIDAS,PROPN
ARISTONUS,ARISTONUS,PROPN
ARISTOTE,ARISTOTE,PROPN
ARTEMON,ARTEMON,PROPN
ASCARUS,ASCARUS,PROPN
ATTALUS,ATTALUS,PROPN
ATTICIANUS,ATTICIANUS,PROPN
AULANIUS,AULANIUS,PROPN
AULUS,AULUS,PROPN
Alcamènes,Alcamènes,PROPN
BATHYCLÈS,BATHYCLÈS,PROPN
BROTÉAS,BROTÉAS,PROPN
CEPHIS,CEPHIS,PROPN
BRYAXIS,BRYAXIS,PROPN
BYZÈS,BYZÈS,X
CALAMIS,CALAMIS,PROPN
CALLICLÈS,CALLICLÈS,PROPN
CALLIMAQUE,callimaque,NOUN
CALLISTONICUS,CALLISTONICUS,PROPN
CALLITELÈS,CALLITELÈS,PROPN
CALLON,CALLON,PROPN
CALYNTHUS,CALYNTHUS,PROPN
CANACH,CANACH,PROPN
CANTHARE,CANTHARE,PROPN
CAPHISIAS,CAPHISIAS,PROPN
ARISTOMÉDON,ARISTOMÉDON,PROPN
ARISTOMÈDE,aristomède,VERB
ARISTOGITON,ARISTOGITON,PROPN
ARISTODÈME,ARISTODÈME,PROPN
AGASIAS,AGASIAS,PROPN
AGATHOCLÈS,AGATHOCLÈS,PROPN
AGORACRITE,AGORACRITE,PROPN
AGÉLADAS,AGÉLADAS,PROPN
AGÉSANDRE,AGÉSANDRE,PROPN
ALCON,ALCON,PROPN
ALTIMUS,ALTIMUS,PROPN
ALYPUS,ALYPUS,PROPN
ALÉVAS,ALÉVAS,PROPN
AMMONIUS,AMMONIUS,PROPN
AMPHICRATES,AMPHICRATES,PROPN
AMPHISTRATE,AMPHISTRATE,PROPN
AMYCLiEUS,AMYCLiEUS,PROPN
ANAXAGORE,ANAXAGORE,PROPN
ANAXIMÈNE,ANAXIMÈNE,PROPN
ANDAAGORAS,ANDAAGORAS,PROPN
ANDROBULE,ANDROBULE,PROPN
ANDRON,ANDRON,PROPN
ANGÉLION,ANGÉLION,PROPN
ANTIOCHUS,ANTIOCHUS,PROPN
ANTÉNOR,ANTÉNOR,PROPN
ARCHIDAMUS,ARCHIDAMUS,PROPN
ARGUS,ARGUS,PROPN
ARISTEAS,ARISTEAS,PROPN
ARISTOCLËS,ARISTOCLËS,PROPN
CENCHRAMIS,CENCHRAMIS,PROPN
CHARÈS,CHARÈS,PROPN
Hérœum,Hérœum,PROPN
DÉMOCRITE,démocrit,ADJ
DIODOTE,DIODOTE,PROPN
DIOGÈNE,DIOGÈNE,PROPN
DIONYSI,DIONYSI,PROPN
DIONYSIC,DIONYSIC,PROPN
DIONYSIUS,DIONYSIUS,PROPN
DONTAS,DONTAS,PROPN
DOROTHÉE,dorothée,NOUN
DOTE,DOTE,PROPN
DyENÈS,DyENÈS,PROPN
DÆMON,DÆMON,PROPN
DÈS,dè,NOUN
DÉDALE,dédale,NOUN
DÉMÉTRIUS,DÉMÉTRIUS,PROPN
CHIMARUS,CHIMARUS,PROPN
ENTOCH,ENTOCH,PROPN
EPIGONE,EPIGONE,PROPN
EPÉUS,EPÉUS,PROPN
ERATON,ERATON,PROPN
EUBIUS,EUBIUS,PROPN
EUBULIDE,EUBULIDE,PROPN
EUCHIR,EUCHIR,PROPN
EUCLIDE,EUCLIDE,PROPN
EUELPISTLS,EUELPISTLS,PROPN
EUMNESTUS,EUMNESTUS,PROPN
EUTYCHÈS,eutychè,ADJ
EUTÉLIDAS,eutélida,NOUN
DIADUMÉNUS,diaduménu,NOUN
DEDALE,DEDALE,PROPN
DAÏPH,DAÏPH,PROPN
DAMOPHORE,DAMOPHORE,PROPN
CHIONIS,chionis,VERB
CHRYSOTHÉMIS,CHRYSOTHÉMIS,PROPN
CLÉON,CLÉON,PROPN
COLOTÈS,COLOTÈS,PROPN
COPONIUS,COPONIUS,PROPN
COSSOTIUS,COSSOTIUS,PROPN
CRATINUS,CRATINUS,PROPN
CRITON,CRITON,PROPN
CRÉSILAS,CRÉSILAS,PROPN
CTÉSIAS,CTÉSIAS,PROPN
CTÉSICLÈS,CTÉSICLÈS,PROPN
CÉPHISODORE,CÉPHISODORE,PROPN
Némésis,Némésis,PROPN
Pausariias,pausariia,ADJ
Venus,venu,NOUN
centaures,centaure,NOUN
d',de,ADP
après,après,ADP
désigne,désigner,VERB
exécuter,exécuter,VERB
iETlON,iETlON,X
l',le,DET
Anathema,Anathema,PROPN
nfant,nfant,ADJ
tète,tète,NOUN
DACTYLDÈS,DACTYLDÈS,X
DAIPPE,DAIPPE,X
SOSI,SOSI,PROPN
SOSICLÈS,SOSICLÈS,PROPN
Julien,Julien,PROPN
frontons,fronton,NOUN
guerre,guerre,NOUN
ongue,ongue,NOUN
que,que,SCONJ
raisins,raisin,NOUN
sacrifice,sacrifice,NOUN
son,son,DET
tragédien,tragédien,NOUN
transporta,transporter,PROPN
Apollons,Apollons,PROPN
C',ce,PRON
est,être,AUX
HéraKiôn,HéraKiôn,PROPN
antique,antique,ADJ
trouvé,trouver,VERB
catagraphes,catagraphe,NOUN
Héraklès,Héraklès,PROPN
Képhisos,Képhisos,PROPN
Marsyas,Marsyas,PROPN
Niké,Niké,PROPN
Parthénos,parthénos,DET
représentaient,représenter,VERB
sculpteur,sculpteur,NOUN
Olympien,olympien,ADJ
gladiateur,gladiateur,NOUN
prétendu,prétendre,ADJ
Appiades,Appiades,PROPN
Bonne,bon,ADJ
devant,devant,ADP
beaux,beal,ADJ
SOSTRATE,SOSTRATE,PROPN
Oenias,Oenias,PROPN
Cratinus,Cratinus,PROPN
Habron,Habron,PROPN
Hippus,Hippus,PROPN
Irène,Irène,PROPN
Lanuvium,Lanuvium,PROPN
Léon,Léon,PROPN
Léontiscus,Léontiscus,PROPN
M,m,NOUN
Mère,Mère,PROPN
Néalcès,néalcè,NOUN
Néarque,Néarque,PROPN
Némée,némée,NOUN
Pausias,Pausias,X
Turianus,Turianus,PROPN
Phalérion,Phalérion,PROPN
Posis,Posis,PROPN
Scylla,scylla,NOUN
Ses,son,DET
Simonide,Simonide,PROPN
Simus,Simus,PROPN
Sthephanopolis,Sthephanopolis,PROPN
Tauriscus,Tauriscus,PROPN
Thamyras,Thamyras,PROPN
Théon,Théon,PROPN
Timarète,Timarète,PROPN
Timomaque,Timomaque,PROPN
Centaures,centaure,NOUN
Hécube,Hécube,PROPN
I',I',X
Océan,Océan,PROPN
Méduse,Méduse,PROPN
Cyathus,Cyathus,PROPN
FIGURINES,FIGURINES,PROPN
Groupe,groupe,NOUN
Hecube,Hecube,PROPN
Hercynie,Hercynie,PROPN
Hippolyte,Hippolyte,PROPN
Rhylon,Rhylon,PROPN
Terre,Terre,PROPN
Tirelire,Tirelire,PROPN
figurines,figurine,NOUN
Amazonomachie,Amazonomachie,PROPN
Centauromachie,Centauromachie,PROPN
Acropole,Acropole,PROPN
L',le,DET
Apollon,Apollon,PROPN
peintres,peintre,NOUN
uet,uet,NOUN
Masques,masque,NOUN
Scarabée,Scarabée,PROPN
copie,copie,NOUN
Camée,Camée,PROPN
Mus,Mus,PROPN
Bellérophon,Bellérophon,PROPN
Gravelle,Gravelle,PROPN
Isis,Isis,PROPN
Cristal,Cristal,PROPN
dit,dire,VERB
Cet,ce,PRON
Calydon,Calydon,PROPN
Aurore,Aurore,PROPN
scarabée,scarabée,NOUN
Pergame,Pergame,PROPN
Polycharme,Polycharme,PROPN
ADAMAS,adama,NOUN
Sosus,Sosus,PROPN
Tibère,Tibère,PROPN
Vesta,Vesta,PROPN
Zéthus,Zéthus,PROPN
consacrer,consacrer,VERB
dédié,dédier,ADJ
l',le,DET
historien,historien,NOUN
lionne,lionn,ADJ
vu,voir,VERB
Ces,ce,DET
Ext,Ext,PROPN
Icarius,Icarius,PROPN
Quelques,quelque,DET
Scyphus,Scyphus,PROPN
reconnu,reconnaître,VERB
Diomède,Diomède,PROPN
F,f,NOUN
Frise,Frise,PROPN
Hrdrie,Hrdrie,PROPN
figures,figure,NOUN
groupes,groupe,NOUN
premier,premier,ADJ
Cassandre,Cassandre,PROPN
Calypso,Calypso,PROPN
Bularque,Bularque,PROPN
Lantin1,lantin1,NOUN
ZÉNODORE,zénodore,NOUN
trois,trois,NUM
Cleveland,Cleveland,PROPN
sauroctone1,sauroctone1,PROPN
statuetteHauteur149,statuetteHauteur149,PROPN
Papposilène,Papposilène,PROPN
dérivé,dériver,VERB
Capitoline,Capitoline,PROPN
modèles,modèle,NOUN
superbe,superbe,ADJ
Antinoüs_Braschi,Antinoüs_Braschi,PROPN
_,_,AUX
Antinoüs_du_Belvédère,antinoüs_du_belvédèr,ADJ
ermettent,ermettent,ADV
Castor,Castor,PROPN
identifiée,identifier,VERB
interprétée,interpréter,VERB
Vénus_callipyge,vénus_callipyge,NOUN
venus,venir,VERB
casque,casque,PROPN
Antignote,Antignote,PROPN
Antimaque,Antimaque,PROPN
Apellas,Apellas,PROPN
Apollodore,Apollodore,PROPN
Aristodème,Aristodème,PROPN
Baton,Baton,PROPN
Boethus,Boethus,PROPN
ZÉNAS,zénas,AUX
ZEUXIADE,ZEUXIADE,PROPN
XÉNOPHON,xénophon,NOUN
TÉLÉSIAS,TÉLÉSIAS,PROPN
STEPHANUS,STEPHANUS,PROPN
STIPAX,STIPAX,PROPN
STRATON,straton,VERB
SYNNOON,SYNNOON,PROPN
TECTÉE,TECTÉE,PROPN
TENICHOS,TENICHOS,PROPN
TERTULLI,tertulli,DET
THALATIO,thalatio,NOUN
THRASYMÈDE,thrasymède,NOUN
THYMLUS,THYMLUS,PROPN
THÉODORE,théodore,PRON
THÉOMNESTE,THÉOMNESTE,PROPN
THÉOPROPUS,THÉOPROPUS,PROPN
THÉOSCOME,THÉOSCOME,PROPN
THÉRON,THÉRON,PROPN
TIMARCHIDE,timarchid,ADJ
TIMON,timon,NOUN
TIMOTHÉE,timothée,ADV
TISAGORAS,TISAGORAS,PROPN
TISANDRE,TISANDRE,PROPN
TISIAS,TISIAS,PROPN
TISICRATE,TISICRATE,PROPN
TITIUS,TITIUS,PROPN
TROPHIMUS,TROPHIMUS,PROPN
TURNUS,turnu,NOUN
Canachus,Canachus,PROPN
Chaeréas,Chaeréas,PROPN
Ariston,Ariston,PROPN
l',le,DET
orateur,orateur,NOUN
chien,chien,NOUN
cinq,cinq,NUM
cocher,cocher,NOUN
colosse,colosse,NOUN
concouru,concourir,VERB
d',de,ADP
Euphranor,Euphranor,PROPN
d',de,ADP
Hégésias,Hégésias,PROPN
dresser,dresser,VERB
décerna,décerner,VERB
décernèrent,décerner,VERB
fait,faire,VERB
l',le,DET
homme,homme,NOUN
pentathles,pentathle,ADJ
Chalcosthénès,Chalcosthénès,PROPN
qu',que,SCONJ
à,à,ADP
tyrannicides,tyrannicide,NOUN
Épigone,Épigone,PROPN
élevé,élevé,ADJ
érigea,ériger,PROPN
Alcimaque,Alcimaque,PROPN
Alcisthène,Alcisthène,PROPN
Androbius,Androbius,PROPN
Antidote,Antidote,PROPN
Antiphile,Antiphile,PROPN
Aristarète,Aristarète,PROPN
Aristide,Aristide,PROPN
celle,celui,PRON
boeuf,boeuf,NOUN
Séleucus,Séleucus,PROPN
Styppax,Styppax,PROPN
Colotès,Colotès,PROPN
Ctésilaüs,Ctésilaüs,PROPN
D',de,ADP
Hégias,Hégias,PROPN
Daiphron,Daiphron,X
Démétrius,Démétrius,PROPN
Entre,entrer,ADP
Eutychidès,Eutychidès,PROPN
Isiditos,Isiditos,PROPN
Janus,Janus,PROPN
L',le,DET
empereur,empereur,NOUN
Lionne,Lionne,PROPN
Lyciscus,Lyciscus,PROPN
Lycius,Lycius,PROPN
Lycus,Lycus,PROPN
Mancinus,Mancinus,PROPN
Micon,Micon,PROPN
Naucydès,Naucydès,PROPN
Naucérus,Naucérus,PROPN
Phénix,Phénix,PROPN
Pyrrhus,Pyrrhus,PROPN
Silanion,Silanion,PROPN
Simon,Simon,PROPN
Splanchnoptès,Splanchnoptès,PROPN
Sthennis,Sthennis,PROPN
Strongylion,Strongylion,PROPN
patènes,patène,NOUN
un,un,DET
une,un,DET
la,le,DET
le,le,DET
les,le,DET
son,son,DET
leur,son,DET
des,de,ADP
cette,ce,DET
du,de,ADP
Le,le,DET
La,le,DET
sa,son,DET
ce,ce,PRON
l',le,DET
Aphrodite,Aphrodite,PROPN
Y,y,NOUN
de,de,ADP
V,v,NOUN
l',le,DET
Hercule,Hercule,PROPN
cet,ce,PRON
l',le,DET
Apollon,Apollon,PROPN
Cette,ce,DET
l,l,DET
Les,le,DET
Son,son,DET
L',le,DET
Apollon,Apollon,PROPN
notre,notre,DET
Tyrannoctones,Tyrannoctones,PROPN
l',le,DET
Alexandre,Alexandre,PROPN
L',le,DET
Athéna,Athéna,PROPN
l',le,DET
antique,antique,ADJ
Une,un,DET
l',le,DET
Athéna,Athéna,PROPN
L',le,DET
Hercule,Hercule,PROPN
Aphrodite,Aphrodite,PROPN
l',le,DET
Eclair,eclair,NOUN
Apoxyoménos,Apoxyoménos,PROPN
Diadumène,Diadumène,PROPN
L',le,DET
Aphrodite,Aphrodite,PROPN
mes,mon,DET
l',le,DET
Ammonias,Ammonias,PROPN
Yomphalos,Yomphalos,PROPN
l',le,DET
Ethiopien,ethiopien,NOUN
l',le,DET
iacchos,iacchos,PROPN
l',le,DET
Ialysos,ialyso,NOUN
VHélène,vhélène,NOUN
YHéra,yhéra,NOUN
l',le,DET
Anathema,Anathema,PROPN
cetomphalos,cetomphalo,NOUN
l',le,DET
Io,Io,PROPN
YAnadyomène,YAnadyomène,PROPN
YÂphrodite,yâphrodite,VERB
VEubouleus,veubouleu,NOUN
Trois,Trois,NUM
TROIS,TROIS,PROPN
L',le,DET
Adonis,Adonis,PROPN
l',le,DET
Anguipède,Anguipède,PROPN
ÏApoxyoménos,ïapoxyoméno,NOUN
l',le,DET
Anadyomène,Anadyomène,PROPN
YApoxyoménos,YApoxyoménos,PROPN
Palladion,Palladion,PROPN
Plutei,Plutei,PROPN
l',le,DET
omphalos,omphalo,NOUN
l',le,DET
Heraclès,Heraclès,PROPN
VÉ,VÉ,PROPN
L',le,DET
omphalos,omphalo,NOUN
L',le,DET
hydre,hydre,NOUN
nan,nan,PROPN
Moschophore,Moschophore,PROPN
Doryphore,Doryphore,PROPN
L',le,DET
Osiris,Osiris,PROPN
e,e,NOUN
l',le,DET
Asarotos,Asarotos,PROPN
VAncée,vancée,NOUN
LA,le,DET
I',I',X
Anapauomène,Anapauomène,PROPN
Apescopeuon,Apescopeuon,PROPN
Anapauomenos,Anapauomenos,PROPN
tyrannicides,tyrannicide,NOUN
l',le,DET
Autolycus,Autolycus,PROPN
l',le,DET
Apoxyomène,apoxyomène,NOUN
Periboetos,Periboetos,PROPN
l',le,DET
Arlésienne,Arlésienne,PROPN
généalogique,généalogique,PROPN
L',le,DET
Arlésienne,Arlésienne,PROPN
Arlésienne,arlésien,ADJ
l',le,DET
Antinoüs,Antinoüs,PROPN
L,l,DET
d',de,DET
autres,autre,ADJ
l',le,DET
empereur,empereur,NOUN
l',le,DET
Alexétère,Alexétère,PROPN
YApoxyomenos,YApoxyomenos,PROPN
Stephaneplocos,Stephaneplocos,PROPN
Sthephanopolis,Sthephanopolis,PROPN
Syngénicon,Syngénicon,PROPN
Un,un,DET
Ic,Ic,PROPN
l',le,DET
Athéné,Athéné,PROPN
d',de,ADP
Athéné,Athéné,PROPN
Pamphile,Pamphile,PROPN
LK,LK,PROPN
LES,le,DET
L',le,DET
Omphale,Omphale,PROPN
lePalladium,lepalladium,NOUN
héméresios,héméresio,NOUN
quatre,quatre,NUM
l',le,DET
amazone,amazone,NOUN
l',le,DET
Olympien,Olympien,PROPN
Zeus,Zeus,PROPN
l',le,DET
Iris,Iris,PROPN
l',le,DET
Ialysus,ialysu,NOUN
l',le,DET
Ammolade,Ammolade,PROPN
deux,deux,NUM
célèbre,célèbre,ADJ
statue,statue,NOUN
Aphrodite,Aphrodite,PROPN
belle,bel,ADJ
fameux,fameux,ADJ
fameuse,fameux,ADJ
beau,beau,ADJ
groupe,groupe,NOUN
dite,dire,VERB
le,le,DET
Apollon,Apollon,PROPN
Tête,Tête,PROPN
tête,tête,NOUN
sous,sou,ADP
Vénus,Vénus,PROPN
qu',que,SCONJ
on,on,PRON
connu,connaître,VERB
prétendu,prétendre,ADJ
dit,dire,VERB
Korè,Korè,PROPN
prétendue,prétendre,ADJ
nommé,nommer,VERB
son,son,DET
une,un,DET
un,un,DET
très,très,ADV
statues,statue,NOUN
trésor,trésor,NOUN
Minerve,Minerve,PROPN
jolie,joli,ADJ
admirable,admirable,ADJ
Hercule,Hercule,PROPN
pyxis,pyxi,ADJ
Athéna,Athéna,PROPN
Jupiter,Jupiter,PROPN
portrait,portrait,NOUN
Éros,Éros,PROPN
magnifique,magnifique,ADJ
la,le,DET
superbe,superbe,ADJ
Hypnos,hypno,NOUN
VAplirodile,vaplirodil,ADJ
Peitho,peitho,ADJ
Thanatos,Thanatos,PROPN
Hésione,Hésione,PROPN
lamentation,lamentation,NOUN
Convoi,convoi,NOUN
Artémis,Artémis,PROPN
qualifié,qualifier,VERB
portraits,portrait,NOUN
surnomma,surnommer,VERB
hmeux,hmeux,PROPN
guerriers,guerrier,NOUN
splendide,splendide,ADJ
petites,petit,ADJ
vase,vase,NOUN
donnent,donner,VERB
soi,soi,NOUN
colonnedite,colonnedite,NOUN
colonne,colonne,NOUN
cet,ce,DET
surnom,surnom,NOUN
personnage,personnage,NOUN
appelée,appeler,VERB
connus,connaître,VERB
Kouros,kouros,NOUN
Kouroi,Kouroi,PROPN
Jumeaux,jumeau,NOUN
type,type,NOUN
aphrodite,aphrodite,NOUN
nommée,nommer,VERB
remarquable,remarquable,ADJ
fronton,fronton,NOUN
réplique,réplique,NOUN
désignée,désigner,VERB
importante,important,ADJ
Europe,Europe,PROPN
tableau,tableau,NOUN
gaine,gain,ADJ
Orphée,Orphée,PROPN
Faustine,Faustine,PROPN
plus,plus,ADV
figure,figure,NOUN
dénommée,dénommer,VERB
Héraklès,Héraklès,PROPN
Amazone,Amazone,PROPN
assemblée,assemblée,NOUN
Sthephanopolis,Sthephanopolis,PROPN
Stephaneplocos,Stephaneplocos,PROPN
Apescopeuon,Apescopeuon,PROPN
Anapauomène,Anapauomène,PROPN
surnomment,surnomment,NOUN
pentathle,pentathle,PROPN
on,on,PRON
l',le,DET
Autolycus,Autolycus,PROPN
Lionne,Lionne,PROPN
Antinoüs,Antinoüs,PROPN
Arkliigalle,Arkliigalle,PROPN
Hermès,Hermès,PROPN
amazone,amazone,NOUN
l',le,DET
Alexétère,Alexétère,PROPN
Satyre,Satyre,PROPN
Doryphore,Doryphore,PROPN
Diadumène,Diadumène,PROPN
Astiag,Astiag,PROPN
Apnxyúmènos,Apnxyúmènos,PROPN
YApoxyomenos,YApoxyomenos,PROPN
portaient,porter,VERB
vénus,vénus,X
HéraKiôn,HéraKiôn,PROPN
HéraSanis,HéraSanis,PROPN
buste,buste,NOUN
dieu,dieu,PROPN
César,César,PROPN
copie,copie,NOUN
Isis,Isis,PROPN
Guerrier,Guerrier,PROPN
Grenat,Grenat,PROPN
Deucalion,Deucalion,PROPN
Chasseur,chasseur,NOUN
Agathe,Agathe,PROPN
autrefois,autrefois,X
Elagabal,Elagabal,PROPN
Groupe,groupe,NOUN
Prétendu,prétendre,ADJ
Cornaline,Cornaline,PROPN
d',de,ADP
où,où,PRON
est,être,AUX
Asarotos,Asarotos,PROPN
Zeus,Zeus,PROPN
précieux,précieux,ADJ
dites,dire,VERB
connue,connaître,VERB
célèbres,célèbre,ADJ
Cornaline,Cornaline,PROPN
statue,statue,NOUN
Agate,Agate,PROPN
Jaspe,Jaspe,PROPN
Vénus,Vénus,PROPN
statues,statue,NOUN
Aphrodite,Aphrodite,PROPN
Apollon,Apollon,PROPN
Tête,Tête,PROPN
Onyx,Onyx,PROPN
Calcédoine,Calcédoine,PROPN
tête,tête,NOUN
Améthyste,Améthyste,PROPN
Camée,Camée,PROPN
Prime,Prime,X
Sardonyx,sardonyx,NOUN
type,type,NOUN
Kouros,kouros,NOUN
groupe,groupe,NOUN
vase,vase,NOUN
Athéna,Athéna,PROPN
Buste,Buste,X
portrait,portrait,NOUN
tableau,tableau,NOUN
représentation,représentation,NOUN
Jupiter,Jupiter,PROPN
kouros,kouros,NOUN
figure,figurer,VERB
image,image,NOUN
buste,buste,NOUN
Hyacinthe,Hyacinthe,PROPN
Kypris,Kypris,PROPN
Antinoüs,Antinoüs,PROPN
Zeus,Zeus,PROPN
base,base,NOUN
œuvre,œuvre,NOUN
coupe,coupe,NOUN
portraits,portrait,NOUN
statuette,statuette,NOUN
Hermès,Hermès,PROPN
Grenat,Grenat,PROPN
stèle,stèle,NOUN
frise,frise,VERB
Pâte,Pâte,PROPN
Artémis,artémis,VERB
Diane,Diane,PROPN
Statue,Statue,PROPN
Hercule,Hercule,PROPN
représentations,représentation,NOUN
Pierres,pierre,NOUN
Minerve,Minerve,PROPN
copie,copie,NOUN
figures,figure,NOUN
amphore,amphore,NOUN
Stèle,Stèle,PROPN
Saphir,Saphir,PROPN
Cippe,Cippe,PROPN
fronton,fronton,NOUN
Aphrodites,Aphrodites,PROPN
PIERRES,pierre,NOUN
Gaulois,Gaulois,PROPN
cheval,cheval,NOUN
Amour,Amour,PROPN
Éros,Éros,PROPN
œuvres,œuvre,NOUN
Déesse,Déesse,PROPN
Alexandre,Alexandre,PROPN
korè,korè,X
tableaux,tableau,NOUN
Dionysos,Dionysos,PROPN
Héra,Héra,PROPN
Kijpris,Kijpris,PROPN
Bacchus,Bacchus,PROPN
Venus,venu,NOUN
cratère,cratère,NOUN
torse,torse,NOUN
Mercure,Mercure,PROPN
réplique,réplique,NOUN
Taureau,Taureau,PROPN
marbres,marbre,NOUN
Korè,Korè,PROPN
bouclier,bouclier,NOUN
têtes,tête,NOUN
statuettes,statuette,NOUN
bustes,buste,NOUN
Topaze,Topaze,PROPN
Monnaie,Monnaie,PROPN
bas,bas,NOUN
vénus,vénus,ADV
copies,copie,NOUN
peintures,peinture,NOUN
Cupidon,Cupidon,PROPN
grande,grand,ADJ
métopes,métope,PROPN
colonne,colonne,NOUN
autel,autel,NOUN
Base,base,NOUN
marbre,marbr,ADJ
vases,vase,NOUN
korai,korai,NOUN
peinture,peinture,X
sphinx,sphinx,NOUN
une,un,DET
images,image,NOUN
coupes,coupe,NOUN
colosse,colosse,X
Kouroi,Kouroi,PROPN
frontons,fronton,NOUN
kouroi,kouroi,PROPN
moulage,moulage,NOUN
Sarcophage,Sarcophage,PROPN
Lapis,Lapis,PROPN
Mars,mars,NOUN
Fragment,fragment,NOUN
oeuvre,oeuvre,NOUN
Grand,grand,ADJ
Faustine,Faustine,PROPN
Sauroctone,Sauroctone,PROPN
Tète,Tète,PROPN
Aiguë,Aiguë,PROPN
la,le,DET
Victoire,Victoire,PROPN
Torse,torse,NOUN
taureau,taureau,NOUN
Diadumène,Diadumène,PROPN
groupes,groupe,NOUN
oenochoé,oenochoé,NOUN
aryballe,aryball,ADJ
Cristal,Cristal,PROPN
ex,e,NOUN
Héraclès,Héraclès,PROPN
athlète,athlèt,ADJ
Cabinet,Cabinet,PROPN
génisse,géniss,ADJ
Mus,Mus,PROPN
Anaglyphes,Anaglyphes,PROPN
GRANDE,GRANDE,PROPN
guerrier,guerrier,NOUN
pierres,pierre,NOUN
motif,motif,NOUN
Bustes,Bustes,PROPN
Combat,Combat,PROPN
Dame,Dame,PROPN
Agale,Agale,PROPN
prétendu,prétendre,ADJ
HCornaline,HCornaline,PROPN
Athena,Athena,PROPN
Agathe,Agathe,PROPN
plaque,plaque,NOUN
Vulcain,vulcain,NOUN
Athéné,Athéné,PROPN
Achille,Achille,PROPN
frises,frise,NOUN
table,table,NOUN
Esculape,Esculape,PROPN
deux,deux,NUM
Statuette,Statuette,PROPN
Némésis,Némésis,PROPN
